수치지도 지형지물 표준코드(안),,,,,,,,,,,,,,,
No,대분류,중분류,소분류(지형지물명),통합코드,수치지도 1.0,,,,,,,,,수치지도 2.0,비고
,,,,,"1:5,000",,,"1:2,500",,,"1:1,000",,,,
,,,,,구조,표현,색상,구조,표현,색상,구조,표현,색상,구조,
1,교통,도로경계,도로경계(미분류),A0010000,,,,,,,,,,면,
2,,,(기존도로)미분류,A0013110,선,,"R/G/B
255/0/0",,,,,,,,
3,,,(기존도로)고속국도,A0013111,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
4,,,(기존도로)일반국도,A0013112,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
5,,,(기존도로)지방도,A0013113,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
6,,,(기존도로)특별시도ㆍ광역시도,A0013114,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
7,,,(기존도로)시도,A0013115,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
8,,,(기존도로)군도,A0013116,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
9,,,(기존도로)면리간도로,A0013117,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
10,,,부지안도로,A0013118,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
11,,,터널안도로,A0013122,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
12,,,(건설예정도로)미분류,A0013130,선,,"R/G/B
255/0/0",,,,,,,,
13,,,(건설예정도로)고속국도,A0013131,선,,"R/G/B
255/0/0",,,,,,,,
14,,,(건설예정도로)일반국도,A0013132,선,,"R/G/B
255/0/0",,,,,,,,
15,,,(건설예정도로)지방도,A0013133,선,,"R/G/B
255/0/0",,,,,,,,
16,,,(건설예정도로)특별시도ㆍ 광역시도,A0013134,선,,"R/G/B
255/0/0",,,,,,,,
17,,,(건설예정도로)시도,A0013135,선,,"R/G/B
255/0/0",,,,,,,,
18,,,(건설예정도로)군도,A0013136,선,,"R/G/B
255/0/0",,,,,,,,
19,,,(건설예정도로)면리간도로,A0013137,선,,"R/G/B
255/0/0",,,,,,,,
20,,,(건설중도로)미분류,A0013140,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
21,,,(건설중도로)고속국도,A0013141,선,,"R/G/B
255/0/0",,,,,,,,
22,,,(건설중도로)일반국도,A0013142,선,,"R/G/B
255/0/0",,,,,,,,
23,,,(건설중도로)지방도,A0013143,선,,"R/G/B
255/0/0",,,,,,,,
24,,,(건설중도로)특별시도ㆍ 광역시도,A0013144,선,,"R/G/B
255/0/0",,,,,,,,
25,,,(건설중도로)시도,A0013145,선,,"R/G/B
255/0/0",,,,,,,,
26,,,(건설중도로)군도,A0013146,선,,"R/G/B
255/0/0",,,,,,,,
27,,,(건설중도로)면리간도로,A0013147,선,,"R/G/B
255/0/0",,,,,,,,
28,,,(편의시설)미분류,A0013360,선,,,,,,,,,,
29,,,(기타)미분류,A0013370,선,,,선,,,선,,,,
30,,,(도로번호-기호)미분류,A0013430,점,,,,,,,,,,
31,,,(도로번호-기호)고속국도,A0013431,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
32,,,(도로번호-기호)일반국도,A0013432,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
33,,,(도로번호-기호)지방도,A0013433,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
34,,,(도로번호-기호)특별시도,A0013434,점,,"R/G/B
0/0/0",,,,,,,,
35,,,(도로번호-기호)시도,A0013435,점,,"R/G/B
0/0/0",,,,,,,,
36,,,(도로번호-기호)군도,A0013436,점,,"R/G/B
0/0/0",,,,,,,,
37,,,(도로번호)미분류,A0013440,점,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
38,,,(도로번호)고속국도,A0013441,문자,,"R/G/B
0/0/0",,,,,,,,
39,,,(도로번호)일반국도,A0013442,문자,,"R/G/B
0/0/0",,,,,,,,
40,,,(도로번호)지방도,A0013443,문자,,"R/G/B
0/0/0",,,,,,,,
41,,,(도로번호)특별시도,A0013444,문자,,"R/G/B
0/0/0",,,,,,,,
42,,,(도로번호)시도,A0013445,문자,,"R/G/B
0/0/0",,,,,,,,
43,,,(도로번호)군도,A0013446,문자,,"R/G/B
0/0/0",,,,,,,,
44,,도로중심선,도로중심선(미분류),A0020000,,,,,,,,,,선,
45,,,소로,A0023119,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
46,,,(도로중심선)미분류,A0023210,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
47,,,(도로중심선)고속국도,A0023211,선,,"R/G/B
0/0/0",,,,,,,,
48,,,(도로중심선)일반국도,A0023212,선,,"R/G/B
0/0/0",,,,,,,,
49,,,(도로중심선)지방도,A0023213,선,,"R/G/B
0/0/0",,,,,,,,
50,,,(도로중심선)특별시도ㆍ 광역시도,A0023214,선,,"R/G/B
0/0/0",,,,,,,,
51,,,(도로중심선)시도,A0023215,선,,"R/G/B
0/0/0",,,,,,,,
52,,,(도로중심선)군도,A0023216,선,,"R/G/B
0/0/0",,,,,,,,
53,,,(도로중심선)면리간도로,A0023217,선,,"R/G/B
0/0/0",,,,,,,,
54,,인도(보도),인도(미분류),A0033320,선,,,,,,,,,선,
55,,,인도,A0033324,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
56,,,자전거도로,A0033327,선,,"R/G/B
165/82/0",선,,"R/G/B
165/82/0",선,,"R/G/B
165/82/0",,코드추가
57,,횡단보도,횡단보도,A0043325,면,,"R/G/B
165/82/0",면,,"R/G/B
165/82/0",면,,"R/G/B
165/82/0",면,
58,,안전지대,안전지대,A0053326,면,,"R/G/B
165/82/0",면,,"R/G/B
165/82/0",면,,"R/G/B
165/82/0",면,
